Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Texas,US,2020-08-04 04:42:12,31.0545,-97.5635,459256,7448,297422.0,152186.0,48.0,1574.7891916096637,3834586.0,,1.5364939205998809,84000048.0,USA,13224.588692442212,,,
Texas,US,2020-08-03 04:34:47,31.0545,-97.5635,449977,7284,282604.0,158663.0,48.0,1545.5471071908455,3747779.0,,1.5347711120284728,84000048.0,USA,12925.211687825593,,,
Texas,US,2020-08-31 04:30:24,31.0545,-97.5635,632865,13064,499518.0,117369.0,48.0,2171.2394253514835,4924712.0,,2.0145496132280765,84000048.0,USA,16984.177856158258,,,
Texas,US,2020-08-05 04:34:56,31.0545,-97.5635,470160,7688,306262.0,152499.0,48.0,1607.2351793690973,3884848.0,,1.5601932914477976,84000048.0,USA,13397.930554343218,,,
Texas,US,2020-08-06 04:35:14,31.0545,-97.5635,480704,8069,315652.0,153641.0,48.0,1645.0577928637522,3908235.0,,1.6155170136625023,84000048.0,USA,13478.586837902942,,,
Texas,US,2020-08-20 04:30:22,31.0545,-97.5635,579406,11285,424685.0,139014.0,48.0,1981.7745837762268,4517189.0,,1.9027796872090528,84000048.0,USA,15578.72650946526,,,
Texas,US,2020-08-19 04:30:00,31.0545,-97.5635,573798,11042,415903.0,142231.0,48.0,1961.699319,4500645.0,,1.877245909,84000048.0,USA,15521.67013,,,
Texas,US,2020-08-28 04:30:22,31.0545,-97.5635,619814,12691,478752.0,123432.0,48.0,2119.4355156858314,4793914.0,,2.0120446050681067,84000048.0,USA,16533.086199381214,,,
Texas,US,2020-08-27 04:30:22,31.0545,-97.5635,615772,12469,472421.0,126087.0,48.0,2105.981880667809,4764640.0,,1.9880520365251344,84000048.0,USA,16432.127032111905,,,
Texas,US,2020-08-14 04:30:24,31.0545,-97.5635,535743,10135,375760.0,145326.0,48.0,1830.8014162425343,4230763.0,,1.840608676159493,84000048.0,USA,14590.91034343809,,,
Texas,US,2020-08-13 04:30:24,31.0545,-97.5635,528743,9897,367354.0,147096.0,48.0,1807.0739081871664,4106360.0,,1.81820957790132,84000048.0,USA,14161.87354334914,,,
Texas,US,2020-08-02 04:35:05,31.0545,-97.5635,446789,7267,282604.0,155269.0,48.0,1533.7971624314505,3747779.0,,1.5436054486011992,84000048.0,USA,12925.211687825593,,,
Texas,US,2020-08-18 04:30:23,31.0545,-97.5635,565979,10820,405817.0,144846.0,48.0,1935.1369251377464,4476167.0,,1.8618452709807347,84000048.0,USA,15437.251242685124,,,
Texas,US,2020-08-17 04:30:23,31.0545,-97.5635,560484,10763,399572.0,145426.0,48.0,1915.4237803638391,4439041.0,,1.8718243265141503,84000048.0,USA,15309.212367094486,,,
Texas,US,2020-08-30 04:30:24,31.0545,-97.5635,630092,12987,492921.0,121223.0,48.0,2161.5173548270527,4900972.0,,2.011484624675509,84000048.0,USA,16902.304158304414,,,
Texas,US,2020-08-29 04:30:22,31.0545,-97.5635,625053,12859,484880.0,121937.0,48.0,2136.0068349018256,4842362.0,,2.0242058661121103,84000048.0,USA,16700.17200029204,,,
Texas,US,2020-08-24 04:30:23,31.0545,-97.5635,598910,12046,451776.0,130698.0,48.0,2049.163465666037,4668028.0,,1.9689551696223155,84000048.0,USA,16098.93487975068,,,
Texas,US,2020-08-23 04:30:28,31.0545,-97.5635,594188,11922,446030.0,131738.0,48.0,2032.5266199016337,4640860.0,,1.9650495716460024,84000048.0,USA,16005.23881305762,,,
Texas,US,2020-08-11 04:35:27,31.0545,-97.5635,513939,9615,349833.0,150518.0,48.0,1757.4254770875907,4073661.0,,1.811292022269276,84000048.0,USA,14049.102353537732,,,
Texas,US,2020-08-12 04:30:24,31.0545,-97.5635,522215,9593,358312.0,150166.0,48.0,1785.426005852349,4088863.0,,1.7813405447170176,84000048.0,USA,14101.530489796118,,,
Texas,US,2020-08-25 04:30:29,31.0545,-97.5635,603381,12103,457182.0,129519.0,48.0,2063.913836589411,4670875.0,,1.9632383657782608,84000048.0,USA,16108.753515714869,,,
Texas,US,2020-08-26 04:30:22,31.0545,-97.5635,609534,12277,466550.0,125843.0,48.0,2084.185681407645,4724559.0,,1.974920903880012,84000048.0,USA,16293.897053860856,,,
Texas,US,2020-08-08 04:35:11,31.0545,-97.5635,495960,9205,331668.0,150789.0,48.0,1694.392386284107,4000532.0,,1.800718089003957,84000048.0,USA,13796.897566243975,,,
